Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Product ID
21st-century-kitchens,21st Century Kitchens.,"<p>21st Century Kitchens.</p>
<p>Book ID: 85845</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'85845,0,shopify,,deny,manual,50,0,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9823046153
23-house-with-three-courts,Mies van der Rohe - 22 Row house with court,"<p>Mies van der Rohe - 22 Row house with court</p>
<p>Book ID: P00036</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'P00036,0,shopify,,deny,manual,50,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,10099982729
23-house-with-three-courts-1,23 House with three courts,"<p>23 House with three courts</p>
<p>Book ID: P00035</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'P00035,0,shopify,,deny,manual,50,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,10100054089
24-court-house,Mies van der Rohe - 24 Court House,"<p>Mies van der Rohe - 24 Court House</p>
<p>Book ID: P00030</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'P00030,0,shopify,,deny,manual,50,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,10099882505
25-court-house,Mies van der Rohe - 25 Court House,"<p>Mies van der Rohe - 25 Court House</p>
<p>Book ID: P00031</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'P00031,0,shopify,,deny,manual,50,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,10099902857
26-resort-house,26 resort house,"<p>26 resort house</p>
<p>Book ID: P00023</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'P00023,0,shopify,,deny,manual,75,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,10099728329
27-museum-for-a-small-city,27 Museum for a small city,"<p>27 Museum for a small city</p>
<p>Book ID: P00038</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'P00038,0,shopify,,deny,manual,50,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,10100033865
28-museum-for-a-small-city,Mies van der Rohe - 28 Museum for a Small City,"<p>Mies van der Rohe - 28 Museum for a Small City</p>
<p>Book ID: P00034</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'P00034,0,shopify,,deny,manual,40,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,10099966601
29-concert-hall,29 Concert Hall,"<p>29 Concert Hall</p>
<p>Book ID: P00029</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'P00029,0,shopify,,deny,manual,60,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,10099855241
2-friedrichstrasse-building,2 Friedrichstrasse Building,"<p>2 Friedrichstrasse Building</p>
<p>Book ID: P00033</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'P00033,0,shopify,,deny,manual,60,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,10099952009
2g-11-baumschlager-eberle,2G #11: Baumschlager & Eberle,"<p>2G #11: Baumschlager & Eberle</p>
<p>Book ID: 39780</p>",William Stout Architectural Books,Book,bold_points_earned,TRUE,,,,,,,'39780,0,shopify,,deny,manual,40,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9937289929
2g-12-craig-ellwood-15-houses,"2G #12: Craig Ellwood, 15 Houses","<p>2G #12: Craig Ellwood, 15 Houses</p>
<p>Book ID: 39781</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'39781,0,shopify,,deny,manual,125,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9937300105
30-years-of-swiss-typographic-discourse-in-the-typografische-monatsblatter-1,30 Years of Swiss Typographic Discourse in the Typografische MonatsblÃ_tter,"<p>30 Years of Swiss Typographic Discourse in the Typografische MonatsblÃ_tter</p>
<p>Book ID: S00370</p>",Penguin Random House,Book,,TRUE,,,,,,,'S00370,0,shopify,,deny,manual,55,,TRUE,TRUE,'9783037785386,,,,FALSE,,,,,,,,,,,,,,,,,lb,,50060034057
31-convention-hall,31 Convention Hall,"<p>31 Convention Hall</p>
<p>Book ID: P00037</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'P00037,0,shopify,,deny,manual,60,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,10100017417
3-glass-skyscraper,Mies van der Rohe - 3 Glass Skyscraper,"<p>Mies van der Rohe - 3 Glass Skyscraper</p>
<p>Book ID: P00027</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'P00027,0,shopify,,deny,manual,60,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,10099791177
4-concrete-office-bulding,Mies van der Rohe - 4 Concrete Office Building,"<p>Mies van der Rohe - 4 Concrete Office Building</p>
<p>Book ID: P00032</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'P00032,0,shopify,,deny,manual,60,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,10099919049
50-urban-blocks,50 Urban Blocks,"<p>50 Urban Blocks</p>
<p>Book ID: S00582</p>",Idea,Book,bold_points_earned,TRUE,,,,,,,'S00582,0,shopify,,deny,manual,21,,TRUE,TRUE,'9788461794362,,,,FALSE,,,,,,,,,,,,,,,,,lb,,1.47E+11
50-years-bauhaus,50 Years: Bauhaus,"<p>50 Years: Bauhaus</p>
<p>Book ID: 13659</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'13659,0,shopify,,deny,manual,45,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9061297161
51n4e-falma-fshazi-stefano-graziani-how-things-meet,"51n4e, Falma Fshazi, Stefano Graziani: How Things Meet.","<p>51n4e, Falma Fshazi, Stefano Graziani: How Things Meet.</p>
<p>Book ID: 100412</p>",Idea,Book,,TRUE,,,,,,,'100412,0,shopify,,deny,manual,44,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9876282185
7ip-01-teppei-fujiwara,7ip #01: Teppei Fujiwara,"<p>7ip #01: Teppei Fujiwara</p>
<p>Book ID: 98463</p>",Idea,Book,,TRUE,,,,,,,'98463,0,shopify,,deny,manual,23,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9875761609
a5-07-rolf-muller-stories-systems-marks-96255,"A5 / 07: Rolf Muller, Stories, Systems, Marks.","<p>A5 / 07: Rolf Muller, Stories, Systems, Marks.</p>
<p>Book ID: 96255</p>",Springer,Book,,TRUE,,,,,,,'96255,0,shopify,,deny,manual,40,0,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9874323785
aa-agendas-little-worlds-96303,AA Agendas: Little Worlds.,"<p>AA Agendas: Little Worlds.</p>
<p>Book ID: 96303</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'96303,0,shopify,,deny,manual,67,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9874354185
aa-agendas-rituals-and-walls-the-architecture-of-sacred-space-96305,"AA Agendas: Rituals and Walls, The Architecture of Sacred Space.","<p>AA Agendas: Rituals and Walls, The Architecture of Sacred Space.</p>
<p>Book ID: 96305</p>",Architectural Association,Book,,TRUE,,,,,,,'96305,0,shopify,,deny,manual,110,,TRUE,TRUE,'9781907896637,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9874355465
aa-book-projects-review-2014-97653,AA Book: Projects Review 2014.,"<p>AA Book: Projects Review 2014.</p>
<p>Book ID: 97653</p>",Architectural Association.,Book,,TRUE,,,,,,,'97653,0,shopify,,deny,manual,42,0,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9874853513
aa-book-projects-review-2015-99378,AA BOOK: Projects Review 2015.,"<p>AA BOOK: Projects Review 2015.</p>
<p>Book ID: 99378</p>",Architectural Association,Book,,TRUE,,,,,,,'99378,0,shopify,,deny,manual,55,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9875965577
aa-files-55-76184,AA Files 55,"<p>AA Files 55</p>
<p>Book ID: 76184</p>",Architectural Association.,Book,,TRUE,,,,,,,'76184,0,shopify,,deny,manual,42,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9812233161
aa-files-74,AA Files 74,"<p>AA Files 74</p>
<p>Book ID: S00306</p>",AA files,Book,,TRUE,,,,,,,'S00306,0,shopify,,deny,manual,40,0,TRUE,TRUE,'9781907896835,,,,FALSE,,,,,,,,,,,,,,,,,lb,,22528065545
aa-files-no-54-72568,AA Files No. 54,"<p>AA Files No. 54</p>
<p>Book ID: 72568</p>",Architectural Association.,Book,,TRUE,,,,,,,'72568,0,shopify,,deny,manual,33,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9804923401
aalto,Aalto (Art Albums).,"<p>Aalto (Art Albums).</p>
<p>Book ID: S00038</p>",Taschen,Book,,TRUE,,,,,,,'S00038,0,shopify,,deny,manual,14.99,,TRUE,TRUE,'9783836560108,,,,FALSE,,,,,,,,,,,,,,,,,lb,,10218372489
aalto-and-america-89778,Aalto and America,"<p>Aalto and America</p>
<p>Book ID: 89778</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'89778,0,shopify,,deny,manual,75,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9841705737
aalto-interiors-1923-1970-61312,Aalto Interiors 1923-1970,"<p>Aalto Interiors 1923-1970</p>
<p>Book ID: 61312</p>",Aalto Museum.,Book,,TRUE,,,,,,,'61312,0,shopify,,deny,manual,85,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9368313673
aaron-g-green-organic-architecture-beyond-frank-lloyd-wright,Aaron G. Green: Organic Architecture Beyond Frank Lloyd Wright,"<p>Aaron G. Green: Organic Architecture Beyond Frank Lloyd Wright</p>
<p>Book ID: S00199</p>",Oro Editions,Book,bold_points_earned,TRUE,,,,,,,'S00199,0,shopify,,deny,manual,75,,TRUE,TRUE,'9781939621375,,,,FALSE,,,,,,,,,,,,,,,,,lb,,10448599497
aaron-siskind-and-louis-sullivan-the-institute-of-design-photo-section-project-78307,Aaron Siskind and Louis Sullivan: The Institute of Design Photo Section Project,"<p>Aaron Siskind and Louis Sullivan: The Institute of Design Photo Section Project</p>
<p>Book ID: 78307</p>",William Stout Publishers.,Book,,TRUE,,,,,,,'78307,0,shopify,,deny,manual,65,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9814461961
a-bathing-ape,*A Bathing Ape,"<p>*A Bathing Ape</p>
<p>Book ID: 78327</p>",Random House.,Book,,TRUE,,,,,,,'78327,0,shopify,,deny,manual,60,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9814465993
abstract-alphabet-an-animal-abc-46017,Abstract Alphabet: An Animal ABC,"<p>Abstract Alphabet: An Animal ABC</p>
<p>Book ID: 46017</p>",Chronicle Books.,Book,,TRUE,,,,,,,'46017,0,shopify,,deny,manual,17.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9770523273
abstract-city,GA Document 142: International 2017,"<p>GA Document 142: International 2017</p>
<p>Book ID: S00001</p>",GA International ADA Edita.,Book,,TRUE,,,,,,,'S00001,0,shopify,,deny,manual,48,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9484638601
abstract-expressionism-at-the-museum-of-modern-art-85413,Abstract Expressionism at the Museum of Modern Art,"<p>Abstract Expressionism at the Museum of Modern Art</p>
<p>Book ID: 85413</p>",DAP.,Book,,TRUE,,,,,,,'85413,0,shopify,,deny,manual,34.95,0,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9822952457
abstractions-on-paper-101403,Abstractions on Paper.,"<p>Abstractions on Paper.</p>
<p>Book ID: 101403</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'101403,0,shopify,,deny,manual,20,0,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9883400777
accommodating-the-pedestrian-adapting-towns-and-neighborhoods-for-walking-and-bicycling-101512,Accommodating The Pedestrian Adapting Towns and Neighborhoods for Walking and Bicycling,"<p>Accommodating The Pedestrian Adapting Towns and Neighborhoods for Walking and Bicycling</p>
<p>Book ID: 101512</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'101512,0,shopify,,deny,manual,50,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9883426505
action-time-vision-100460,Action Time Vision,"<p>Action Time Vision</p>
<p>Book ID: 100460</p>",Unit Editions,Book,,TRUE,,,,,,,'100460,0,shopify,,deny,manual,65,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9876288777
ada-karmi-melamede-architect-life-sciences-buildings-ben-gurion-university-of-the-negev-61491,"Ada Karmi-Melamede, Architect: Life Sciences Buildings, Ben-Gurion University of the Negev","<p>Ada Karmi-Melamede, Architect: Life Sciences Buildings, Ben-Gurion University of the Negev</p>
<p>Book ID: 61491</p>",BirkhÅ user.,Book,,TRUE,,,,,,,'61491,0,shopify,,deny,manual,72,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9368331657
adhocism-the-case-for-improvisation-expanded-and-updated-edition-93373,"Adhocism: The Case for Improvisation, Expanded and Updated Edition.","<p>Adhocism: The Case for Improvisation, Expanded and Updated Edition.</p>
<p>Book ID: 93373</p>",William Stout Architectural Books,Book,bold_points_earned,TRUE,,,,,,,'93373,0,shopify,,deny,manual,24.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9865661769
adjaye-africa-architecture-compact-edition-101154,Adjaye: Africa: Architecture: Compact Edition,"<p>Adjaye: Africa: Architecture: Compact Edition</p>
<p>Book ID: 101154</p>",Norton,Book,,TRUE,,,,,,,'101154,0,shopify,,deny,manual,33,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9883315209
adobe-houses-homes-of-sun-and-earth-101447,Adobe Houses: Homes of Sun and Earth.,"<p>Adobe Houses: Homes of Sun and Earth.</p>
<p>Book ID: 101447</p>",Penguin Random House,Book,bold_points_earned,TRUE,,,,,,,'101447,0,shopify,,deny,manual,60,,TRUE,TRUE,'9780847858446,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9883414345
adolf-loos-1870-1933-architect-cultural-critic-dandy-62297,"Adolf Loos. 1870-1933. Architect, Cultural Critic, Dandy.","<p>Adolf Loos. 1870-1933. Architect, Cultural Critic, Dandy.</p>
<p>Book ID: 62297</p>",Taschen.,Book,,TRUE,,,,,,,'62297,0,shopify,,deny,manual,10,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9368414345
adolf-loos-95570,Adolf Loos.,"<p>Adolf Loos.</p>
<p>Book ID: 95570</p>",Antique Collectors Club.,Book,,TRUE,,,,,,,'95570,0,shopify,,deny,manual,45,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9866982153
adolf-loos-exposition-du-cinquantenaire,Adolf Loos - Exposition Du Cinquantenaire,"<p>Adolf Loos - Exposition Du Cinquantenaire</p>
<p>Book ID: P00003</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'P00003,0,shopify,,deny,manual,20,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,10059176265
ad-reader-diagrams-of-architecture-80701,AD Reader: Diagrams of Architecture,"<p>AD Reader: Diagrams of Architecture</p>
<p>Book ID: 80701</p>",Wiley.,Book,,TRUE,,,,,,,'80701,0,shopify,,deny,manual,39,0,TRUE,TRUE,'9780470519455,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9817138441
ad-reinhardt,AD REINHARDT,"<p>AD REINHARDT</p>
<p>Book ID: P00022</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'P00022,0,shopify,,deny,manual,50,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,10098470025
ad-reinhardt-red-painting-1952,"Ad Reinhardt: Red Painting, 1952","<p>Ad Reinhardt: Red Painting, 1952</p>
<p>Book ID: P00060</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'P00060,0,shopify,,deny,manual,80,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,10284624201
adrian-frutiger-typefaces-the-complete-works-96418,Adrian Frutiger Typefaces: The Complete Works.,"<p>Adrian Frutiger Typefaces: The Complete Works.</p>
<p>Book ID: 96418</p>",Springer,Book,,TRUE,,,,,,,'96418,0,shopify,,deny,manual,84,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9874424777
advanced-architecture-4-5-6-101604,"Advanced Architecture 4,5,6.","<p>Advanced Architecture 4,5,6.</p>
<p>Book ID: 101604</p>",Idea Books,Book,,TRUE,,,,,,,'101604,0,shopify,,deny,manual,296,0,TRUE,TRUE,'9788968010569,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9883447881
adventures-in-conceptualism,Adventures In Conceptualism,"<p>Adventures In Conceptualism</p>
<p>Book ID: S00105</p>",Idea,Book,,TRUE,,,,,,,'S00105,0,shopify,,deny,manual,47.5,,TRUE,TRUE,'9789187543401,,,,FALSE,,,,,,,,,,,,,,,,,lb,,10326893897
adventures-in-letterpress-95946,Adventures in Letterpress.,"<p>Adventures in Letterpress.</p>
<p>Book ID: 95946</p>",Chronicle Books,Book,,TRUE,,,,,,,'95946,0,shopify,,deny,manual,24.95,0,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9873946185
a-few-years-of-writing-interspersed-with-some-facts-of-life-94305,A Few Years of Writing Interspersed with some Facts of Life.,"<p>A Few Years of Writing Interspersed with some Facts of Life.</p>
<p>Book ID: 94305</p>",actar,Book,,TRUE,,,,,,,'94305,0,shopify,,deny,manual,29.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9866376969
affordable-housing-in-new-york-the-people-places-and-policies-that-transformed-a-city-99679,"Affordable Housing in New York: the People, Places, and Policies That Transformed a City.","<p>Affordable Housing in New York: the People, Places, and Policies That Transformed a City.</p>
<p>Book ID: 99679</p>",Perseus,Book,,TRUE,,,,,,,'99679,0,shopify,,deny,manual,39.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9876079561
a-field-guide-to-american-houses-1,A Field Guide to American Houses,"<p>A Field Guide to American Houses</p>
<p>Book ID: 11912</p>",Alfred A. Knopf.,Book,,TRUE,,,,,,,'11912,0,shopify,,deny,manual,26.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,0
a-field-guide-to-american-houses-95383,A Field Guide to American Houses.,"<p>A Field Guide to American Houses.</p>
<p>Book ID: 95383</p>",Random House,Book,,TRUE,,,,,,,'95383,0,shopify,,deny,manual,50,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9866929737
a-field-guide-to-american-houses-97519,A Field Guide to American Houses.,"<p>A Field Guide to American Houses.</p>
<p>Book ID: 97519</p>",Random House,Book,,TRUE,,,,,,,'97519,0,shopify,,deny,manual,30,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9866929737
a-forward-minded-retrospective-cedric-price-works-1952d2003-96313,A Forward-minded Retrospective: Cedric Price Works 1952Ãê2003,"<p>A Forward-minded Retrospective: Cedric Price Works 1952Ãê2003</p>
<p>Book ID: 96313</p>",Architectural Association,Book,,TRUE,,,,,,,'96313,0,shopify,,deny,manual,325,,TRUE,TRUE,'9781907896439,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9874360393
a-french-alphabet-book-of-1814-74403,A French Alphabet Book of 1814,"<p>A French Alphabet Book of 1814</p>
<p>Book ID: 74403</p>",Rizzoli,Book,,TRUE,,,,,,,'74403,0,shopify,,deny,manual,24.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9806338953
african-interiors-79517,African Interiors,"<p>African Interiors</p>
<p>Book ID: 79517</p>",Taschen.,Book,,TRUE,,,,,,,'79517,0,shopify,,deny,manual,59.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9814712969
african-modernism-the-architecture-of-independence-ghana-senegal-cote-divoire-kenya-zambia-99154,"African Modernism: the Architecture of Independence. Ghana, Senegal, Cote d'Ivoire, Kenya, Zambia","<p>African Modernism: the Architecture of Independence. Ghana, Senegal, Cote d'Ivoire, Kenya, Zambia</p>
<p>Book ID: 99154</p>",University of Chicago,Book,,TRUE,,,,,,,'99154,0,shopify,,deny,manual,79,0,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9875921801
afritecture-building-social-change-95034,Afritecture: Building Social Change,"<p>Afritecture: Building Social Change</p>
<p>Book ID: 95034</p>",DAP,Book,,TRUE,,,,,,,'95034,0,shopify,,deny,manual,60,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9866580745
after-the-city-41449,After the City,"<p>After the City</p>
<p>Book ID: 41449</p>",MIT Press.,Book,,TRUE,,,,,,,'41449,0,shopify,,deny,manual,24.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9362711561
age-of-the-masters-a-personal-view-of-modern-architecture-17350,Age of the Masters: A Personal View of Modern Architecture,"<p>Age of the Masters: A Personal View of Modern Architecture</p>
<p>Book ID: 17350</p>","Harper and Row,",Book,,TRUE,,,,,,,'17350,0,shopify,,deny,manual,25,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9757482313
a-gift-to-the-street-83099,A Gift to the Street.,"<p>A Gift to the Street.</p>
<p>Book ID: 83099</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'83099,0,shopify,,deny,manual,45,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9819887945
a-global-history-of-architecture-second-edition-87076,A Global History of Architecture: Second Edition.,"<p>A Global History of Architecture: Second Edition.</p>
<p>Book ID: 87076</p>",William Stout Architectural Books,Book,,TRUE,,,,,,,'87076,0,shopify,,deny,manual,95,0,TRUE,TRUE,'9780470402573,,,,FALSE,,,,,,,,,,,,,,,,,lb,,9831626569
agnes-martin-99274,Agnes Martin,"<p>Agnes Martin</p>
<p>Book ID: 99274</p>",DAP,Book,,TRUE,,,,,,,'99274,0,shopify,,deny,manual,55,,TRUE,TRUE,'9781938922763,,,,FALSE,,,,,,,,,,,,,,,,,lb,,0
